Movie Name,Year,Timing(min),Rating(10),Votes,Genre,Language,unique_movies,weighted_average
My Brother Rushi,2013,14,5.0,1,218,9,My Brother Rushi malayalam 2013,5.562523510971787
Nathayil Muthu,1973,189,6.0,7,0,16,Nathayil Muthu tamil 1973,5.69198275862069
Bahadur,1944,120,5.0,1,0,5,Bahadur hindi 1944,5.562523510971787
Bijlee,2000,116,5.0,1,1,5,Bijlee hindi 2000,5.562523510971787
Profulla,1954,120,5.0,1,0,2,Profulla bengali 1954,5.562523510971787
Bhoot police,2021,120,5.0,1,5,5,Bhoot police hindi 2021,5.562523510971787
Ponmani,1977,120,5.0,1,0,16,Ponmani tamil 1977,5.562523510971787
Parishkaram,1991,120,5.0,1,8,17,Parishkaram telugu 1991,5.562523510971787
The Ritual,1977,120,7.4,126,8,6,The Ritual kannada 1977,7.141330049261085
Lens,2016,109,6.8,1100,81624,9,Lens malayalam 2016,6.777319819127011
Purandaradasa,1937,120,5.0,1,4,6,Purandaradasa kannada 1937,5.562523510971787
Belated SMS,2015,120,5.0,1,218,9,Belated SMS malayalam 2015,5.562523510971787
Agnee Morcha,1997,142,3.2,13,1,5,Agnee Morcha hindi 1997,4.675750507099392
Ramadas,1948,120,5.0,1,0,16,Ramadas tamil 1948,5.562523510971787
Shadow,2018,94,5.0,1,13,9,Shadow malayalam 2018,5.562523510971787
Shivayogi Sri Puttayyajja,2016,142,5.0,1,8,6,Shivayogi Sri Puttayyajja kannada 2016,5.562523510971787
Hanky Panky,1979,120,8.6,18177,519,5,Hanky Panky hindi 1979,8.596525745534748
Thanedarni,1994,120,5.0,1,1,5,Thanedarni hindi 1994,5.562523510971787
O21,2014,124,7.9,3073,124,12,O21 oriya 2014,7.884316586050867
Balapareekshanam,1978,120,5.0,1,0,9,Balapareekshanam malayalam 1978,5.562523510971787
Gowdrudugru,2015,120,5.0,1,8,6,Gowdrudugru kannada 2015,5.562523510971787
Amali Thumali,0,120,5.0,1,15,16,Amali Thumali tamil 0,5.562523510971787
Osai,1984,120,5.0,1,8,16,Osai tamil 1984,5.562523510971787
Ayaal Sassi,2017,122,5.6,83,58,9,Ayaal Sassi malayalam 2017,5.5978415119363385
Chhe: Six,2018,102,5.0,1,1324,5,Chhe: Six hindi 2018,5.562523510971787
Halla Gulla,1988,120,5.0,1,0,5,Halla Gulla hindi 1988,5.562523510971787
Vaa Raja Vaa,1969,152,6.5,11,0,16,Vaa Raja Vaa tamil 1969,5.902359913793104
Yowana Daaham,1980,120,5.0,1,0,9,Yowana Daaham malayalam 1980,5.562523510971787
Kohe Noor,1966,120,5.0,1,0,19,Kohe Noor urdu 1966,5.562523510971787
Sujatha Mohan: Neelaambale,2021,4,5.0,1,2114,9,Sujatha Mohan: Neelaambale malayalam 2021,5.562523510971787
To Meri Main Tera,1998,120,5.0,1,0,19,To Meri Main Tera urdu 1998,5.562523510971787
Parasparam,2013,120,3.5,20,9,9,Parasparam malayalam 2013,4.570134566862911
Buridi,2010,120,6.2,14,5,17,Buridi telugu 2010,5.833586206896552
Zinda Dil,2005,120,5.0,1,1,5,Zinda Dil hindi 2005,5.562523510971787
hi tech love,2014,126,5.0,1,8,17,hi tech love telugu 2014,5.562523510971787
Mera Saaya,2001,120,5.0,1,13,5,Mera Saaya hindi 2001,5.562523510971787
Lou (Ek Ehsaas),2004,115,5.0,1,8,5,Lou (Ek Ehsaas) hindi 2004,5.562523510971787
Hee Shrinchi Ichha,2006,120,5.0,1,8,10,Hee Shrinchi Ichha marathi 2006,5.562523510971787
Aankh Micholi,2021,120,5.0,1,59,5,Aankh Micholi hindi 2021,5.562523510971787
